City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Cabo San Lucas,MX,81.61,broken clouds,22.8909,-109.9124,Vista Roof Restaurant
7,Rikitea,PF,75.22,broken clouds,-23.1203,-134.9692,People ThankYou
9,Kahului,US,75.22,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
10,Sao Miguel Do Araguaia,BR,85.62,clear sky,-13.275,-50.1628,Hotel Executivo Palace
11,Camocim,BR,82.27,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
14,Butaritari,KI,81.77,few clouds,3.0707,172.7902,Isles Sunset Lodge
18,Tambura,SS,89.56,overcast clouds,5.6,27.4667,Rikito Lodge
20,Karlstad,SE,75.76,clear sky,59.3793,13.5036,Scandic Karlstad City
21,Gurupi,BR,84.15,clear sky,-11.7292,-49.0686,Via Norte Hotel
25,Mumford,GH,78.46,overcast clouds,5.2618,-0.759,Spanish Villa
29,Anloga,GH,80.98,light rain,5.7947,0.8973,Pin Drop Hotel
31,Takab,IR,78.22,broken clouds,36.4009,47.1133,نانوایی جواد
34,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
38,Turbana,CO,83.21,overcast clouds,10.2717,-75.4422,Cartagena Hills
45,Scarborough,GB,78.33,few clouds,54.2797,-0.4044,The Grand Hotel Scarborough
46,Parchim,DE,85.71,clear sky,53.4263,11.8488,Hotel Stadtkrug - Silke Wartenberg
52,Omboue,GA,77.05,broken clouds,-1.5746,9.2618,Hotel Olako
54,Nikolskoye,RU,75.87,overcast clouds,59.7035,30.7861,Tourist House - Sablino
62,Sao Filipe,CV,78.37,clear sky,14.8961,-24.4956,Hotel Xaguate
67,Mamallapuram,IN,89.65,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
71,Atuona,PF,77.07,clear sky,-9.8,-139.0333,Villa Enata
72,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
75,Laguna,US,78.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
76,Puerto Carreno,CO,79.45,clear sky,6.189,-67.4859,Casa Hotel Victoria
