City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,2022-06-23 13:09:53,-46.1927,168.8643,33.48,81,3,3.69,clear sky
1,Alekseyevsk,RU,2022-06-23 13:09:54,57.8406,108.3492,55.18,95,93,2.48,light rain
2,Hilo,US,2022-06-23 13:06:59,19.7297,-155.09,71.28,91,100,4.61,light rain
3,Dikson,RU,2022-06-23 13:09:54,73.5069,80.5464,43.5,74,100,20.47,overcast clouds
4,Saldanha,ZA,2022-06-23 13:09:55,-33.0117,17.9442,55.54,88,100,25.41,moderate rain
5,Cabo San Lucas,MX,2022-06-23 13:09:19,22.8909,-109.9124,81.61,82,76,2.86,broken clouds
6,Bluff,NZ,2022-06-23 13:09:55,-46.6,168.3333,33.8,78,87,12.08,overcast clouds
7,Rikitea,PF,2022-06-23 13:09:56,-23.1203,-134.9692,75.22,65,79,15.84,broken clouds
8,Tilichiki,RU,2022-06-23 13:09:56,60.4667,166.1,44.26,94,98,3.47,overcast clouds
9,Kahului,US,2022-06-23 13:09:57,20.8947,-156.47,75.22,77,100,9.22,overcast clouds
10,Sao Miguel Do Araguaia,BR,2022-06-23 13:09:57,-13.275,-50.1628,85.62,33,0,7.61,clear sky
11,Camocim,BR,2022-06-23 13:06:55,-2.9022,-40.8411,82.27,65,23,10.22,few clouds
12,Kostomuksha,RU,2022-06-23 13:09:58,64.571,30.5767,55.62,94,100,11.77,light rain
13,Quesnel,CA,2022-06-23 13:09:58,52.9999,-122.5029,43.16,86,100,1.19,overcast clouds
14,Butaritari,KI,2022-06-23 13:09:59,3.0707,172.7902,81.77,76,17,11.27,few clouds
15,Prince Rupert,CA,2022-06-23 13:09:59,54.3161,-130.3201,50.09,93,100,5.75,mist
16,New Norfolk,AU,2022-06-23 13:10:00,-42.7826,147.0587,50.92,88,100,1.01,heavy intensity rain
17,Ushuaia,AR,2022-06-23 13:10:00,-54.8,-68.3,37.06,93,100,18.41,light rain
18,Tambura,SS,2022-06-23 13:10:01,5.6,27.4667,89.56,44,100,3.31,overcast clouds
19,Nurota,UZ,2022-06-23 13:10:02,40.5614,65.6886,95.97,17,0,12.82,clear sky
20,Karlstad,SE,2022-06-23 13:10:03,59.3793,13.5036,75.76,38,0,10.36,clear sky
21,Gurupi,BR,2022-06-23 13:07:30,-11.7292,-49.0686,84.15,37,0,11.92,clear sky
22,Bredasdorp,ZA,2022-06-23 13:10:05,-34.5322,20.0403,54.57,90,100,21.63,heavy intensity rain
23,Jamestown,US,2022-06-23 13:06:29,42.097,-79.2353,67.01,74,0,8.05,clear sky
24,Talcahuano,CL,2022-06-23 13:10:06,-36.7167,-73.1167,51.48,87,100,14.97,overcast clouds
25,Mumford,GH,2022-06-23 13:10:06,5.2618,-0.759,78.46,81,100,8.99,overcast clouds
26,Punta Arenas,CL,2022-06-23 13:05:52,-53.15,-70.9167,41.02,77,0,17.27,clear sky
27,Beringovskiy,RU,2022-06-23 13:10:07,63.05,179.3167,45.27,87,100,14.0,overcast clouds
28,Nanortalik,GL,2022-06-23 13:10:07,60.1432,-45.2371,43.43,65,100,12.59,overcast clouds
29,Anloga,GH,2022-06-23 13:10:08,5.7947,0.8973,80.98,74,96,10.0,light rain
30,Barrow,US,2022-06-23 13:10:08,71.2906,-156.7887,44.62,93,100,6.91,light rain
31,Takab,IR,2022-06-23 13:10:08,36.4009,47.1133,78.22,25,77,18.23,broken clouds
32,Luderitz,NA,2022-06-23 13:10:09,-26.6481,15.1594,71.11,38,0,20.51,clear sky
33,Saint-Philippe,RE,2022-06-23 13:10:10,-21.3585,55.7679,69.39,75,94,15.39,light rain
34,Conde,BR,2022-06-23 13:10:10,-7.2597,-34.9075,80.06,78,75,12.66,broken clouds
35,Thompson,CA,2022-06-23 13:10:10,55.7435,-97.8558,51.85,61,6,6.22,clear sky
36,Saskylakh,RU,2022-06-23 13:10:11,71.9167,114.0833,53.04,46,100,10.16,overcast clouds
37,Chokurdakh,RU,2022-06-23 13:10:11,70.6333,147.9167,36.1,59,9,16.75,clear sky
38,Turbana,CO,2022-06-23 13:10:12,10.2717,-75.4422,83.21,82,93,4.23,overcast clouds
39,Mayskiy,RU,2022-06-23 13:10:12,47.6931,40.1025,74.61,36,29,11.83,scattered clouds
40,Tasiilaq,GL,2022-06-23 13:10:13,65.6145,-37.6368,44.76,78,5,6.58,clear sky
41,Cape Town,ZA,2022-06-23 13:09:06,-33.9258,18.4232,56.1,81,75,13.8,light rain
42,Ponta Do Sol,PT,2022-06-23 13:10:13,32.6667,-17.1,72.01,69,52,7.7,broken clouds
43,Praia Da Vitoria,PT,2022-06-23 13:10:14,38.7333,-27.0667,70.75,74,27,13.13,scattered clouds
44,Flinders,AU,2022-06-23 13:10:14,-34.5833,150.8552,58.17,69,11,7.0,few clouds
45,Scarborough,GB,2022-06-23 13:07:13,54.2797,-0.4044,78.33,63,22,4.0,few clouds
46,Parchim,DE,2022-06-23 13:10:15,53.4263,11.8488,85.71,35,4,6.04,clear sky
47,Dunedin,NZ,2022-06-23 13:11:16,-45.8742,170.5036,38.8,82,0,4.38,clear sky
48,Castro,BR,2022-06-23 13:11:16,-24.7911,-50.0119,68.63,62,0,8.34,clear sky
49,Atar,MR,2022-06-23 13:11:16,20.5169,-13.0499,100.13,15,5,9.44,clear sky
50,Qaanaaq,GL,2022-06-23 13:11:17,77.484,-69.3632,39.22,61,86,7.4,overcast clouds
51,Port Lincoln,AU,2022-06-23 13:11:17,-34.7333,135.8667,60.03,89,100,14.07,overcast clouds
52,Omboue,GA,2022-06-23 13:11:18,-1.5746,9.2618,77.05,69,71,11.27,broken clouds
53,Vestmannaeyjar,IS,2022-06-23 13:11:18,63.4427,-20.2734,47.39,81,75,6.91,broken clouds
54,Nikolskoye,RU,2022-06-23 13:11:18,59.7035,30.7861,75.87,35,100,6.42,overcast clouds
55,Busselton,AU,2022-06-23 13:11:19,-33.65,115.3333,55.45,79,58,9.04,broken clouds
56,Hobart,AU,2022-06-23 13:08:05,-42.8794,147.3294,51.26,94,75,0.0,fog
57,Stornoway,GB,2022-06-23 13:11:19,58.2093,-6.3865,61.93,73,40,26.46,scattered clouds
58,Henties Bay,NA,2022-06-23 13:11:20,-22.116,14.2845,62.31,62,0,12.3,clear sky
59,Kyshtovka,RU,2022-06-23 13:11:21,56.555,76.6271,66.25,83,66,10.78,light rain
60,Arroyo,ES,2022-06-23 13:11:21,41.6096,-4.7969,70.14,49,40,17.27,scattered clouds
61,Vaini,TO,2022-06-23 13:11:22,-21.2,-175.2,64.56,88,20,4.61,few clouds
62,Sao Filipe,CV,2022-06-23 13:11:22,14.8961,-24.4956,78.37,81,2,8.28,clear sky
63,Yellowknife,CA,2022-06-23 13:11:22,62.456,-114.3525,55.56,66,84,3.0,broken clouds
64,Kruisfontein,ZA,2022-06-23 13:11:23,-34.0033,24.7314,56.88,62,100,8.66,overcast clouds
65,Coquimbo,CL,2022-06-23 13:11:23,-29.9533,-71.3436,53.33,76,0,12.66,clear sky
66,Clonmel,IE,2022-06-23 13:11:24,52.355,-7.7039,74.35,67,96,5.53,overcast clouds
67,Mamallapuram,IN,2022-06-23 13:11:24,12.6264,80.1722,89.65,71,100,13.2,overcast clouds
68,Albany,US,2022-06-23 13:09:47,42.6001,-73.9662,64.94,85,100,1.99,overcast clouds
69,Horodnytsya,UA,2022-06-23 13:11:25,50.807,27.3168,65.82,70,100,7.45,overcast clouds
70,Khatanga,RU,2022-06-23 13:11:25,71.9667,102.5,55.17,42,100,12.21,overcast clouds
71,Atuona,PF,2022-06-23 13:11:26,-9.8,-139.0333,77.07,76,3,15.5,clear sky
72,Avarua,CK,2022-06-23 13:11:26,-21.2078,-159.775,75.25,64,75,10.36,broken clouds
73,Tiksi,RU,2022-06-23 13:11:26,71.6872,128.8694,35.67,60,43,7.87,scattered clouds
74,Norman Wells,CA,2022-06-23 13:11:27,65.282,-126.8329,60.85,46,59,1.52,broken clouds
75,Laguna,US,2022-06-23 13:08:44,38.421,-121.4238,78.94,46,0,6.91,clear sky
76,Puerto Carreno,CO,2022-06-23 13:10:04,6.189,-67.4859,79.45,80,6,2.33,clear sky
77,Kavieng,PG,2022-06-23 13:11:28,-2.5744,150.7967,81.55,77,39,11.68,scattered clouds
78,Marawi,PH,2022-06-23 13:11:28,7.9986,124.2928,69.37,94,76,1.81,light rain
79,Atbasar,KZ,2022-06-23 13:11:29,51.8,68.3333,83.59,43,91,13.94,overcast clouds
80,Jalu,LY,2022-06-23 13:11:29,29.0331,21.5482,100.02,14,0,8.55,clear sky
81,Chuy,UY,2022-06-23 13:11:30,-33.6971,-53.4616,49.42,88,100,4.18,overcast clouds
82,Singapore,SG,2022-06-23 13:11:30,1.2897,103.8501,80.46,86,75,9.22,light rain
83,Arraial Do Cabo,BR,2022-06-23 13:11:31,-22.9661,-42.0278,76.86,69,0,5.75,clear sky
84,San Cristobal,VE,2022-06-23 13:11:31,7.7669,-72.225,73.58,76,91,5.61,overcast clouds
85,Islahiye,TR,2022-06-23 13:11:31,37.025,36.6306,88.27,20,0,13.6,clear sky
86,Meulaboh,ID,2022-06-23 13:11:32,4.1363,96.1285,75.38,92,100,14.97,overcast clouds
87,Dawson Creek,CA,2022-06-23 13:11:32,55.7666,-120.2362,47.84,76,75,11.5,broken clouds
88,Hithadhoo,MV,2022-06-23 13:11:32,-0.6,73.0833,82.15,75,9,6.89,clear sky
89,Diamantino,BR,2022-06-23 13:11:33,-14.4086,-56.4461,80.91,39,48,5.57,scattered clouds
90,Pemberton,CA,2022-06-23 13:11:33,50.3164,-122.8027,45.81,90,21,0.85,few clouds
91,Sitka,US,2022-06-23 13:12:34,57.0531,-135.33,53.49,87,100,0.0,overcast clouds
92,Cherskiy,RU,2022-06-23 13:12:34,68.75,161.3,40.42,71,100,5.73,overcast clouds
93,Dalbandin,PK,2022-06-23 13:12:34,28.8947,64.4101,101.26,16,0,10.74,clear sky
94,Vardo,NO,2022-06-23 13:12:35,70.3705,31.1107,48.18,87,0,5.75,clear sky
95,Carnduff,CA,2022-06-23 13:12:35,49.1667,-101.8009,65.37,69,8,6.2,clear sky
96,Svetlyy,RU,2022-06-23 13:12:36,54.675,20.1347,68.05,64,21,3.31,few clouds
97,Gorom-Gorom,BF,2022-06-23 13:11:11,14.4439,-0.2361,97.2,27,1,5.82,clear sky
98,Port Elizabeth,ZA,2022-06-23 13:12:36,-33.918,25.5701,59.09,96,100,4.0,overcast clouds
99,Geraldton,AU,2022-06-23 13:12:37,-28.7667,114.6,59.41,94,40,5.75,scattered clouds
100,Hereford,GB,2022-06-23 13:12:37,52.0568,-2.7148,78.69,52,87,11.25,overcast clouds
101,Bondo,CD,2022-06-23 13:12:38,3.8146,23.6866,81.72,65,98,1.32,overcast clouds
102,Uvat,RU,2022-06-23 13:12:38,59.1433,68.8953,72.5,68,61,6.96,broken clouds
103,Warrnambool,AU,2022-06-23 13:12:39,-38.3833,142.4833,59.81,77,100,20.31,moderate rain
104,Ejido Hermosillo,MX,2022-06-23 13:12:39,32.5121,-114.9238,86.43,39,0,5.7,clear sky
105,West Wendover,US,2022-06-23 13:12:40,40.7391,-114.0733,60.01,39,0,3.44,clear sky
106,Havoysund,NO,2022-06-23 13:12:40,70.9963,24.6622,53.83,87,100,5.37,light rain
107,Zhigansk,RU,2022-06-23 13:12:41,66.7697,123.3711,54.61,54,73,8.25,broken clouds
108,Nelson Bay,AU,2022-06-23 13:12:41,-32.7167,152.15,51.1,84,30,12.88,scattered clouds
109,Sabha,LY,2022-06-23 13:12:42,27.0377,14.4283,99.16,7,0,7.74,clear sky
110,Tuktoyaktuk,CA,2022-06-23 13:12:42,69.4541,-133.0374,37.17,78,100,9.44,overcast clouds
111,Faanui,PF,2022-06-23 13:12:42,-16.4833,-151.75,79.34,66,90,6.96,overcast clouds
112,Shebalino,RU,2022-06-23 13:12:43,51.2917,85.6772,73.27,68,0,3.44,clear sky
113,Isangel,VU,2022-06-23 13:12:43,-19.55,169.2667,72.48,80,100,5.55,overcast clouds
114,Port Hedland,AU,2022-06-23 13:12:44,-20.3167,118.5667,66.25,72,4,1.14,clear sky
115,Ellisras,ZA,2022-06-23 13:12:44,-23.6649,27.7443,69.78,44,6,9.75,clear sky
116,Bell Ville,AR,2022-06-23 13:12:44,-32.6259,-62.6887,40.55,69,51,2.37,broken clouds
117,Brigantine,US,2022-06-23 13:12:45,39.4101,-74.3646,70.14,83,20,12.66,few clouds
118,Comodoro Rivadavia,AR,2022-06-23 13:12:45,-45.8667,-67.5,33.66,55,0,5.75,clear sky
119,Wattegama,LK,2022-06-23 13:12:45,6.7989,81.4808,84.52,58,84,5.99,broken clouds
120,Porto Novo,BJ,2022-06-23 13:12:46,6.4965,2.6036,83.7,67,86,7.76,light rain
121,Aklavik,CA,2022-06-23 13:12:46,68.2191,-135.0107,47.7,58,99,13.09,overcast clouds
122,Okhotsk,RU,2022-06-23 13:12:46,59.3833,143.3,48.36,94,100,5.86,overcast clouds
