City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Fortuna,40.5982,-124.1573,73.85,69,20,5.01,US,2022-06-22 19:59:03
1,Upernavik,72.7868,-56.1549,33.78,90,100,10.13,GL,2022-06-22 19:59:03
2,Lexington,37.9887,-84.4777,96.69,44,5,1.01,US,2022-06-22 19:56:44
3,Clyde River,70.4692,-68.5914,43.03,81,100,13.8,CA,2022-06-22 19:59:03
4,Punta Arenas,-53.15,-70.9167,41.11,70,40,19.57,CL,2022-06-22 19:56:08
5,New Norfolk,-42.7826,147.0587,49.91,82,100,1.01,AU,2022-06-22 19:59:04
6,Viru,-8.4167,-78.75,71.69,57,10,10.87,PE,2022-06-22 19:59:04
7,Faanui,-16.4833,-151.75,80.42,65,12,13.06,PF,2022-06-22 19:59:04
8,Ushuaia,-54.8,-68.3,40.62,81,40,33.38,AR,2022-06-22 19:57:02
9,Foxton,-40.4667,175.3,38.93,92,96,4.27,NZ,2022-06-22 19:59:05
10,Mar Del Plata,-38.0023,-57.5575,49.08,58,75,8.05,AR,2022-06-22 19:55:37
11,Auburn Hills,42.6875,-83.2341,89.74,36,0,11.5,US,2022-06-22 19:59:05
12,Khatanga,71.9667,102.5,50.56,59,100,8.72,RU,2022-06-22 19:59:06
13,Bluff,-46.6,168.3333,38.26,73,100,8.05,NZ,2022-06-22 19:59:06
14,Zhigansk,66.7697,123.3711,50.18,82,4,10.31,RU,2022-06-22 19:59:06
15,Provideniya,64.3833,-173.3,42.08,98,100,10.11,RU,2022-06-22 19:59:07
16,Ca Mau,9.1769,105.15,79.03,86,99,1.83,VN,2022-06-22 19:59:07
17,Mataura,-46.1927,168.8643,31.12,77,100,2.93,NZ,2022-06-22 19:59:07
18,Mahebourg,-20.4081,57.7,70.09,78,40,11.5,MU,2022-06-22 19:59:08
19,Saskylakh,71.9167,114.0833,49.28,50,25,8.55,RU,2022-06-22 19:59:08
20,Yar-Sale,66.8333,70.8333,64.56,67,5,5.48,RU,2022-06-22 19:59:08
21,Torbay,47.6666,-52.7314,72.88,46,40,18.41,CA,2022-06-22 19:59:09
22,Kavieng,-2.5744,150.7967,80.65,77,100,4.9,PG,2022-06-22 19:59:09
23,Woodburn,45.1437,-122.8554,80.11,58,53,3.0,US,2022-06-22 19:59:10
24,Kununurra,-15.7667,128.7333,73.38,33,0,12.66,AU,2022-06-22 19:59:10
25,Sretensk,52.2453,117.7093,52.72,95,26,1.1,RU,2022-06-22 19:59:10
26,Chokurdakh,70.6333,147.9167,40.93,69,78,14.63,RU,2022-06-22 19:59:11
27,Xinzhi,36.4989,111.7047,73.53,87,34,1.86,CN,2022-06-22 19:59:11
28,Aykhal,66.0,111.5,67.1,48,98,4.76,RU,2022-06-22 19:59:11
29,Kruisfontein,-34.0033,24.7314,57.88,60,100,5.46,ZA,2022-06-22 19:59:12
30,Wiarton,44.7407,-81.1332,76.96,56,20,9.22,CA,2022-06-22 19:59:12
31,Albany,42.6001,-73.9662,67.17,81,94,1.01,US,2022-06-22 19:56:47
32,Laguna,38.421,-121.4238,100.31,21,40,7.94,US,2022-06-22 19:59:12
33,Luderitz,-26.6481,15.1594,56.48,73,0,6.29,NA,2022-06-22 19:59:13
34,Ribeira Grande,38.5167,-28.7,68.4,73,40,13.8,PT,2022-06-22 19:59:13
35,Caravelas,-17.7125,-39.2481,73.53,82,0,5.55,BR,2022-06-22 19:59:13
36,Bandarbeyla,9.4942,50.8122,77.0,83,100,30.49,SO,2022-06-22 19:59:14
37,Alofi,-19.0595,-169.9187,76.89,83,84,9.22,NU,2022-06-22 19:59:14
38,Igbo Ora,7.4333,3.2833,71.04,98,100,6.06,NG,2022-06-22 19:59:15
39,Xapuri,-10.6517,-68.5044,81.95,62,100,0.45,BR,2022-06-22 19:59:15
40,Hamilton,39.1834,-84.5333,96.85,55,7,5.01,US,2022-06-22 19:56:08
41,Yellowknife,62.456,-114.3525,66.72,32,75,16.11,CA,2022-06-22 19:59:15
42,Maihar,24.2667,80.75,89.83,46,77,2.19,IN,2022-06-22 19:59:16
43,Saint George,37.1041,-113.5841,92.62,12,98,4.0,US,2022-06-22 19:57:18
44,Bani Walid,31.7566,13.9942,77.88,34,0,11.63,LY,2022-06-22 19:59:16
45,Hofn,64.2539,-15.2082,50.61,60,44,15.68,IS,2022-06-22 20:00:16
46,Macusani,-14.0833,-70.4333,45.84,46,13,10.87,PE,2022-06-22 20:00:17
47,Kapaa,22.0752,-159.319,80.58,84,53,5.01,US,2022-06-22 20:00:18
48,Jansath,29.3333,77.85,85.82,42,1,6.13,IN,2022-06-22 20:00:18
49,Nikolskoye,59.7035,30.7861,60.69,63,55,0.18,RU,2022-06-22 20:00:19
50,Cherskiy,68.75,161.3,59.63,39,100,15.84,RU,2022-06-22 20:00:19
51,Rikitea,-23.1203,-134.9692,74.84,75,11,11.01,PF,2022-06-22 20:00:19
52,Port Alfred,-33.5906,26.891,64.47,86,91,18.34,ZA,2022-06-22 20:00:20
53,Saint-Philippe,-21.3585,55.7679,65.79,69,1,5.66,RE,2022-06-22 20:00:20
